"gsis_id","PlayerName","PlayerPosition","posteam","season","Targets","Reception","Air_Yards","Receiving_Yards","Receiving_TDs","Target_Share","Air_Yards_MS","WOPR","aDoT","Team_Pass_Attempts","Team_Air_Yards","FP","NYFP","n","NY_n","Targetspgame","NY_Targetspgame","Receptionspgame","NY_Receptionspgame","Air_Yardspgame","NY_Air_Yardspgame","NY_Air_Yards_MS","Receiving_Yardspgame","NY_Receiving_Yardspgame","Receiving_TDspgame","NY_Receiving_TDspgame","NY_Target_Share","NY_WOPR","NY_Air_Yards","NY_Targets","NY_adot","Team_PApgame","NY_Team_PApgame","Team_AYpgame","NY_Team_AYpgame","NY_TPA_Input","NY_TAY_Input","NY_TS_Input","NY_TS_Input_D"
"00-0032098","Daniel Brown","WR","NYJ",2020,2,2,10,31,0,0.0277777777777778,0.0178890876565295,0.0541890280262373,5,72,559,5.1,NA,2,NA,1,NA,1,NA,5,NA,NA,15.5,NA,0,NA,NA,NA,NA,NA,NA,36,NA,279.5,NA,NA,NA,NA,"Same"
"00-0032128","Chris Conley","WR","JAX",2020,63,40,652,471,2,0.110332749562172,0.161466072313026,0.278525374962376,10.3492063492063,571,4038,99.1,NA,14,NA,4.5,NA,2.85714285714286,NA,46.5714285714286,NA,NA,33.6428571428571,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,40.7857142857143,NA,288.428571428571,NA,NA,NA,NA,"Same"
"00-0032211","Tyler Lockett","WR","SEA",2020,132,100,1285,1054,10,0.216039279869067,0.265825403392635,0.510136702178446,9.73484848484848,611,4834,265.4,NA,16,NA,8.25,NA,6.25,NA,80.3125,NA,NA,65.875,NA,0.625,NA,NA,NA,NA,NA,NA,38.1875,NA,302.125,NA,NA,NA,NA,"Same"
"00-0032385","Sterling Shepard","WR","NYG",2020,90,66,746,656,3,0.205949656750572,0.236600063431652,0.474544529528015,8.28888888888889,437,3153,160.5,NA,12,NA,7.5,NA,5.5,NA,62.1666666666667,NA,NA,54.6666666666667,NA,0.25,NA,NA,NA,NA,NA,NA,36.4166666666667,NA,262.75,NA,NA,NA,NA,"Same"
"00-0032464","Kalif Raymond","WR","TEN",2020,15,9,263,187,0,0.0574712643678161,0.134733606557377,0.180520421141888,17.5333333333333,261,1952,27.4,NA,8,NA,1.875,NA,1.125,NA,32.875,NA,NA,23.375,NA,0,NA,NA,NA,NA,NA,NA,32.625,NA,244,NA,NA,NA,NA,"Same"
"00-0032543","Alex Erickson","WR","CIN",2020,17,12,122,139,0,0.0559210526315789,0.0526997840172786,0.120771427759463,7.17647058823529,304,2315,26.6,NA,9,NA,1.88888888888889,NA,1.33333333333333,NA,13.5555555555556,NA,NA,15.4444444444444,NA,0,NA,NA,NA,NA,NA,NA,33.7777777777778,NA,257.222222222222,NA,NA,NA,NA,"Same"
"00-0032688","Robby Anderson","WR","CAR",2020,136,95,1318,1096,3,0.232081911262799,0.320058280718796,0.572163663397355,9.69117647058824,586,4118,224.1,NA,16,NA,8.5,NA,5.9375,NA,82.375,NA,NA,68.5,NA,0.1875,NA,NA,NA,NA,NA,NA,36.625,NA,257.375,NA,NA,NA,NA,"Same"
"00-0032765","Michael Thomas","WR","NO",2020,55,40,528,438,0,0.248868778280543,0.423076923076923,0.669457013574661,9.6,221,1248,83.9,NA,7,NA,7.85714285714286,NA,5.71428571428571,NA,75.4285714285714,NA,NA,62.5714285714286,NA,0,NA,NA,NA,NA,NA,NA,31.5714285714286,NA,178.285714285714,NA,NA,NA,NA,"Same"
"00-0032775","Demarcus Robinson","WR","KC",2020,59,45,525,466,3,0.094551282051282,0.108002468627854,0.217428651116421,8.89830508474576,624,4861,109.6,NA,15,NA,3.93333333333333,NA,3,NA,35,NA,NA,31.0666666666667,NA,0.2,NA,NA,NA,NA,NA,NA,41.6,NA,324.066666666667,NA,NA,NA,NA,"Same"
"00-0032778","Tajae Sharpe","WR","MIN",2020,3,0,112,0,0,0.0256410256410256,0.127128263337117,0.12745132279752,37.3333333333333,117,881,0,NA,3,NA,1,NA,0,NA,37.3333333333333,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,39,NA,293.666666666667,NA,NA,NA,NA,"Same"
"00-0032791","Jakeem Grant","WR","MIA",2020,54,36,567,373,1,0.106930693069307,0.152173913043478,0.266917778734395,10.5,505,3726,81.3,NA,14,NA,3.85714285714286,NA,2.57142857142857,NA,40.5,NA,NA,26.6428571428571,NA,0.0714285714285714,NA,NA,NA,NA,NA,NA,36.0714285714286,NA,266.142857142857,NA,NA,NA,NA,"Same"
"00-0032881","Tommylee Lewis","WR","NO",2020,3,1,38,5,0,0.02,0.039460020768432,0.0576220145379024,12.6666666666667,150,963,2.9,NA,4,NA,0.75,NA,0.25,NA,9.5,NA,NA,1.25,NA,0,NA,NA,NA,NA,NA,NA,37.5,NA,240.75,NA,NA,NA,NA,"Same"
"00-0032951","Laquon Treadwell","WR","ATL",2020,7,6,39,49,2,0.0409356725146199,0.0320197044334975,0.0838173018753781,5.57142857142857,171,1218,22.9,NA,4,NA,1.75,NA,1.5,NA,9.75,NA,NA,12.25,NA,0.5,NA,NA,NA,NA,NA,NA,42.75,NA,304.5,NA,NA,NA,NA,"Same"
"00-0032977","Rashard Higgins","WR","CLE",2020,52,37,733,599,4,0.133676092544987,0.234035759897829,0.364339170745961,14.0961538461538,389,3132,120.9,NA,12,NA,4.33333333333333,NA,3.08333333333333,NA,61.0833333333333,NA,NA,49.9166666666667,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,32.4166666666667,NA,261,NA,NA,NA,NA,"Same"
"00-0032980","Marcus Johnson","WR","IND",2020,28,14,487,255,0,0.0952380952380952,0.239077074128621,0.310211094747177,17.3928571428571,294,2037,39.5,NA,8,NA,3.5,NA,1.75,NA,60.875,NA,NA,31.875,NA,0,NA,NA,NA,NA,NA,NA,36.75,NA,254.625,NA,NA,NA,NA,"Same"
"00-0033006","Jaydon Mickens","WR","TB",2020,10,7,73,58,0,0.116279069767442,0.0977242302543507,0.242825565829208,7.3,86,747,12.8,NA,2,NA,5,NA,3.5,NA,36.5,NA,NA,29,NA,0,NA,NA,NA,NA,NA,NA,43,NA,373.5,NA,NA,NA,NA,"Same"
"00-0033009","Tyler Boyd","WR","CIN",2020,110,79,940,841,4,0.186125211505922,0.213539300318037,0.428665327481509,8.54545454545454,591,4402,192.64,NA,15,NA,7.33333333333333,NA,5.26666666666667,NA,62.6666666666667,NA,NA,56.0666666666667,NA,0.266666666666667,NA,NA,NA,NA,NA,NA,39.4,NA,293.466666666667,NA,NA,NA,NA,"Same"
"00-0033040","Tyreek Hill","WR","KC",2020,135,87,1739,1276,15,0.217391304347826,0.351384118003637,0.572055839124285,12.8814814814815,621,4949,328.9,NA,15,NA,9,NA,5.8,NA,115.933333333333,NA,NA,85.0666666666667,NA,1,NA,NA,NA,NA,NA,NA,41.4,NA,329.933333333333,NA,NA,NA,NA,"Same"
"00-0033111","Pharoh Cooper","WR","CAR",2020,8,5,79,73,0,0.0421052631578947,0.0532345013477089,0.100422045680238,9.875,190,1484,12.3,NA,5,NA,1.6,NA,1,NA,15.8,NA,NA,14.6,NA,0,NA,NA,NA,NA,NA,NA,38,NA,296.8,NA,NA,NA,NA,"Same"
"00-0033114","Mike Thomas","WR","CIN",2020,21,13,181,132,1,0.0472972972972973,0.0537570537570538,0.108575883575884,8.61904761904762,444,3367,32.3,NA,10,NA,2.1,NA,1.3,NA,18.1,NA,NA,13.2,NA,0.1,NA,NA,NA,NA,NA,NA,44.4,NA,336.7,NA,NA,NA,NA,"Same"
"00-0033127","Will Fuller","WR","HOU",2020,75,53,940,879,8,0.191326530612245,0.293474867311895,0.492422203036694,12.5333333333333,392,3203,188.9,NA,11,NA,6.81818181818182,NA,4.81818181818182,NA,85.4545454545455,NA,NA,79.9090909090909,NA,0.727272727272727,NA,NA,NA,NA,NA,NA,35.6363636363636,NA,291.181818181818,NA,NA,NA,NA,"Same"
"00-0033215","Cyril Grayson","WR","TB",2020,3,0,71,0,0,0.0476190476190476,0.152688172043011,0.178310291858679,23.6666666666667,63,465,0,NA,2,NA,1.5,NA,0,NA,35.5,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,31.5,NA,232.5,NA,NA,NA,NA,"Same"
