"PlayerName","season","week","WK3_FPpG","WK3_NOTDFPpG","WK3_WOPR","WK3_Targets","DKSalary","XTD_Diff","NWFP","NW_DKValue","NW_DKSalary","WK3_Predicted_FPpG_TE","Pred_Diff","Pred_Diff_Group","SQWK3_FPpG","SQWK3_NOTDFPpG"
"Niles Paul",2018,2,1.6,1.6,0.0837578160744243,1,2500,0.381876107453628,3.1,1.24,2500,1.35677393588954,-0.24083551310918,"carry on",1.26491106406735,1.26491106406735
"Niles Paul",2018,4,2.1,2.1,0.0911704914824921,1.33333333333333,2500,-0.238369611474521,13.5,5.4,2500,1.61263225669687,-0.500582795339251,"carry on",1.44913767461894,1.44913767461894
"Niles Paul",2018,5,6.6,6.6,0.169793533307363,4,2500,-0.736229473811431,-0.3,-0.115384615384615,2600,2.11854234762457,2.11177832132138,"carry on",2.56904651573303,2.56904651573303
"Lee Smith",2014,12,3.56666666666667,1.56666666666667,0.0661508757035069,1.33333333333333,3000,-0.710258006877344,1.6,0.533333333333333,3000,1.77433065861744,0.418417380556881,"carry on",1.88856206322871,1.25166555703457
"Lee Smith",2014,14,1.26666666666667,1.26666666666667,0.0402484630534802,1,3000,-0.36953783905279,2.1,0.7,3000,1.49733371024173,-0.975341573159604,"carry on",1.12546286774228,1.12546286774228
"Lee Smith",2014,15,1.96666666666667,1.96666666666667,0.0535980148883375,1.33333333333333,3000,-0.706954379617586,2.8,0.933333333333333,3000,1.66659190285037,-0.810861903979749,"carry on",1.40237893119751,1.40237893119751
"Lee Smith",2015,8,2.36666666666667,2.36666666666667,0.0685078416728902,1.66666666666667,2500,-0.302636062009648,2,0.8,2500,1.5635217960479,-0.0779337400501752,"carry on",1.53839743456191,1.53839743456191
"Lee Smith",2015,9,1.9,1.9,0.0662132127529123,1.66666666666667,2500,0.0387781150301819,1.1,0.44,2500,1.4284477732207,-0.140463040819173,"carry on",1.37840487520902,1.37840487520902
"Lee Smith",2015,10,1.56666666666667,1.56666666666667,0.0561712062256809,1.33333333333333,2500,-0.248610401274411,1.2,0.48,2500,1.50350377793523,-0.693856943598834,"carry on",1.25166555703457,1.25166555703457
"Lee Smith",2015,12,1.43333333333333,1.43333333333333,0.0510846219931271,1.33333333333333,2500,-0.182451344187705,7.5,3,2500,1.46234767163302,-0.705127379397178,"carry on",1.19721899973786,1.19721899973786
"Lee Smith",2015,13,3.26666666666667,1.26666666666667,0.0344527577112716,1,2500,-1.13713737473861,2.7,1.08,2500,1.83165411693345,-0.0882901374125877,"carry on",1.80739222823013,1.12546286774228
"Lee Smith",2016,2,3.2,3.2,0.121757096658282,2,2500,-1.2103221500111,1.4,0.56,2500,2.07480001062502,-1.10479508408959,"carry on",1.78885438199983,1.78885438199983
"Lee Smith",2017,2,0.95,0.95,0.0694805194805195,0.5,2500,0.140412384297371,3.5,1.4,2500,1.40098772198171,-1.01276659714351,"carry on",0.974679434480896,0.974679434480896
"Lee Smith",2017,8,2.83333333333333,2.83333333333333,0.106328913307623,2,2500,0.125782360086688,2.2,0.88,2500,1.52538425882212,0.506536196271012,"carry on",1.68325082306035,1.68325082306035
"Lee Smith",2017,12,2.93333333333333,2.93333333333333,0.110320175002486,2,2500,0.151128125748459,1.3,0.52,2500,1.52878801239941,0.596140546477199,"carry on",1.71269767715535,1.71269767715535
"Lee Smith",2017,15,2.2,2.2,0.09401499351784,1.66666666666667,2500,-0.123857926146461,3.6,1.44,2500,1.57899225590924,-0.293216544221351,"carry on",1.48323969741913,1.48323969741913
"Lee Smith",2018,12,4.6,4.6,0.100580593495573,2.66666666666667,2500,-1.36979643096292,7.1,2.84,2500,2.13207782080586,0.0542441660277264,"carry on",2.14476105895272,2.14476105895272
"Lee Smith",2018,13,5.2,3.2,0.0753565122210634,1.66666666666667,2500,-1.77319025090676,7.3,2.92,2500,2.26750349420258,0.0584279037790916,"carry on",2.28035085019828,1.78885438199983
"Lee Smith",2018,14,6.76666666666667,2.76666666666667,0.0593081032614787,1.33333333333333,2500,-2.13258382464285,7.1,2.84,2500,2.35009976348162,1.24369776835031,"carry on",2.60128173535022,1.66332999331662
"Lee Smith",2019,2,0.9,0.9,0.0610679283541737,0.5,2500,0.17558632681601,0,0,2500,1.36068370415525,-0.951460142753639,"carry on",0.948683298050514,0.948683298050514
"Lee Smith",2019,5,3.2,1.2,0.0661148020196652,1,2500,-0.656281008218985,1.9,0.76,2500,1.75403009956945,0.123378409804399,"carry on",1.78885438199983,1.09544511501033
"Lee Smith",2019,7,3.23333333333333,1.23333333333333,0.0641897990640579,1,2500,-1.07427854153903,1.6,0.64,2500,1.90412307954975,-0.392351368740677,"carry on",1.79814719456816,1.11055541659718
"Lee Smith",2021,2,0.95,0.95,0.0531928900592495,0.5,2500,-0.453320600254675,9.7,3.88,2500,1.57044069224829,-1.51628396786929,"carry on",0.974679434480896,0.974679434480896
"Lee Smith",2021,5,5.86666666666667,3.86666666666667,0.104811697327317,2.33333333333333,2500,-2.01598156166901,1.7,0.68,2500,2.38736759793747,0.16714261898496,"carry on",2.42212028327799,1.96638416050035
"Lee Smith",2021,7,5.8,3.8,0.118571428571429,2.66666666666667,2500,-1.96802629695898,2.2,0.88,2500,2.41384386563181,-0.0266422076483011,"carry on",2.40831891575846,1.94935886896179
"Lee Smith",2021,14,3.3,3.3,0.0999953449399497,2,2500,-0.682796141650481,0,0,2500,1.80730254519032,0.0336575101485943,"carry on",1.8165902124585,1.8165902124585
"Charles Clay",2014,1,4.7,4.7,0.342448388265121,6,3900,-0.569240417237424,10.1,3.15625,3200,2.74531055910004,-2.83673006590616,"BOSS",2.16794833886788,2.16794833886788
"Charles Clay",2014,2,7.4,7.4,0.300812552535724,7,3200,-0.68866023341454,5.1,1.45714285714286,3500,2.65558939964804,0.347844940476987,"carry on",2.72029410174709,2.72029410174709
"Charles Clay",2014,3,6.63333333333333,6.63333333333333,0.256792829531456,6,3500,-0.541126317297604,5.2,1.57575757575758,3300,2.45834984565047,0.589849369723666,"carry on",2.57552583627758,2.57552583627758
"Charles Clay",2014,4,6.8,6.8,0.249667265933114,5.33333333333333,3300,-0.349723315557226,6.5,2.16666666666667,3000,2.36377940420452,1.21254692825851,"carry on",2.60768096208106,2.60768096208106
"Charles Clay",2014,6,5.6,5.6,0.262457912457912,4.33333333333333,3000,-0.236761493049067,15.8,5.09677419354839,3100,2.29682963451128,0.32457363003077,"carry on",2.36643191323985,2.36643191323985
"Charles Clay",2014,7,9.16666666666667,7.16666666666667,0.330566334072432,4.66666666666667,3100,-1.37337842899952,1.1,0.314285714285714,3500,3.00766099390455,0.120642012411775,"carry on",3.02765035409749,2.67706306736817
"Charles Clay",2014,8,7.8,5.8,0.286145833333333,4.33333333333333,3500,-1.52193914296758,17.5,5.83333333333333,3000,2.91984944306339,-0.725520770157596,"carry on",2.79284800875379,2.40831891575846
"Charles Clay",2014,9,11.4666666666667,7.46666666666667,0.331119874669116,5.33333333333333,3000,-1.93987826113685,11.5,3.38235294117647,3400,3.48524362300696,-0.680256445044046,"carry on",3.38624669312008,2.73252020425589
"Charles Clay",2014,10,10.0333333333333,8.03333333333333,0.361875201547888,6.66666666666667,3400,-1.10710109578589,8.1,1.97560975609756,4100,3.40507585113855,-1.56120821867356,"BOSS",3.16754373818789,2.83431355593084
"Charles Clay",2014,11,12.3666666666667,10.3666666666667,0.393835206291543,7.66666666666667,4100,-0.907248165784716,6.1,1.79411764705882,3400,3.36750191726014,1.02659750391597,"carry on",3.51662717197412,3.21973083761153
"Charles Clay",2014,14,8.56666666666667,8.56666666666667,0.30831069587956,6,3400,-0.318829439734178,11.9,3.71875,3200,2.67347453109825,1.41920059823564,"carry on",2.92688685580203,2.92688685580203
"Charles Clay",2014,15,8.7,8.7,0.255828443092081,5.33333333333333,3200,-0.858639216447942,17.4,4.97142857142857,3500,2.50797811811635,2.41004575904958,"carry on",2.94957624075053,2.94957624075053
"Charles Clay",2014,16,11.8,11.8,0.33832626369742,6.66666666666667,3500,-1.52470293417515,15.5,3.6046511627907,4300,3.15528173396631,1.84419717929858,"carry on",3.43511280746353,3.43511280746353
"Charles Clay",2015,1,8.3,8.3,0.448469212246302,4,3700,0.314067115109343,10.9,3.20588235294118,3400,2.5592126890902,1.75043041199969,"carry on",2.88097205817759,2.88097205817759
"Charles Clay",2015,2,9.6,6.6,0.350127129417747,4.5,3400,-0.308805129219516,19.2,6.19354838709677,3100,2.57372136010712,2.97595836052836,"carry on",3.09838667696593,2.56904651573303
"Charles Clay",2015,3,12.8,8.8,0.406694076834126,5.33333333333333,3100,-1.91857712484732,20.1,6.09090909090909,3300,3.32524995741087,1.74271272073903,"carry on",3.57770876399966,2.96647939483827
"Charles Clay",2015,4,16.7333333333333,12.7333333333333,0.516438660883105,8.33333333333333,3300,-2.68455626931447,1.7,0.414634146341463,4100,3.9658733409436,1.00518197692621,"carry on",4.09063972177132,3.5683796509527
"Charles Clay",2015,5,13.6666666666667,11.6666666666667,0.550357894736842,7.66666666666667,4100,-1.91734772869923,15.2,3.53488372093023,4300,3.72246600034493,-0.190086457057323,"carry on",3.69684550213647,3.41565025531987
"Charles Clay",2015,6,12.3333333333333,12.3333333333333,0.584522069570301,9.66666666666667,4300,-1.19774846783916,5.6,1.30232558139535,4300,3.56364204035418,-0.366211258446342,"carry on",3.51188458428425,3.51188458428425
"Charles Clay",2015,7,7.5,7.5,0.390018035516093,7,4300,-0.533657284769712,1.6,0.380952380952381,4200,2.68756298585116,0.277005197082785,"carry on",2.73861278752583,2.73861278752583
"Charles Clay",2015,9,7.46666666666667,7.46666666666667,0.368007818863007,6.33333333333333,4200,-0.913704196630444,10.2,2.48780487804878,4100,2.75864100846022,-0.143433546891778,"carry on",2.73252020425589,2.73252020425589
"Charles Clay",2015,10,5.8,5.8,0.25273773541037,4,4100,-1.19670850922296,2.4,0.6,4000,2.49244081760185,-0.412261229247767,"carry on",2.40831891575846,2.40831891575846
"Charles Clay",2015,11,4.73333333333333,4.73333333333333,0.237509252405625,3.33333333333333,4000,-1.10326324552483,8.1,2.31428571428571,3500,2.40834900188339,-1.06681158153938,"carry on",2.17562251627743,2.17562251627743
"Charles Clay",2015,12,6.9,6.9,0.297502912827031,5.66666666666667,3500,-1.18791239239633,16.6,4.74285714285714,3500,2.6996181557176,-0.3879381866801,"carry on",2.62678510731274,2.62678510731274
"Charles Clay",2015,13,9.03333333333333,7.03333333333333,0.355913892445583,6,3500,-1.88201766554986,1.9,0.542857142857143,3500,3.21367904852053,-1.29439969356646,"Keep an Eye On",3.00555042102663,2.65204323745548
"Charles Clay",2016,1,6,6,0.354423076923077,3,3400,-1.46307627497684,7.7,2.33333333333333,3300,2.92022907565282,-2.52773785428811,"Keep an Eye On",2.44948974278318,2.44948974278318
"Charles Clay",2016,2,6.85,6.85,0.353391335227273,5,3300,-1.83928197817093,0,0,2900,3.05757738083135,-2.49877943977149,"BOSS",2.61725046566048,2.61725046566048
